code,attitude,reason,earn_nextweek
 000006.SZ,x,,
 000058.SZ,x,,
 000096.SZ,x,,
 000422.SZ,x,,
 000425.SZ,x,,
 000513.SZ,,,
 000554.SZ,,,
 000597.SZ,,,
 000603.SZ,,,
 000611.SZ,,,
 000613.SZ,,,
 000629.SZ,,,
 000657.SZ,,,
 000688.SZ,,,
 000705.SZ,,,
 000709.SZ,,,
 000731.SZ,,,
 000758.SZ,,,
 000780.SZ,,,
 000801.SZ,,,
 000831.SZ,,,
 000927.SZ,,,
 000950.SZ,,,
 000962.SZ,,,
 000969.SZ,,,
 001202.SZ,,,
 002011.SZ,,,
 002030.SZ,,,
 002092.SZ,,,
 002120.SZ,,,
 002135.SZ,,,
 002149.SZ,,,
 002158.SZ,,,
 002177.SZ,,,
 002182.SZ,,,
 002200.SZ,,,
 002210.SZ,,,
 002223.SZ,,,
 002237.SZ,,,
 002265.SZ,,,
 002274.SZ,,,
 002295.SZ,,,
 002300.SZ,,,
 002319.SZ,,,
 002324.SZ,,,
 002378.SZ,,,
 002428.SZ,x,,
 002566.SZ,,,
 002566.SZ,,,
 002574.SZ,,,
 002637.SZ,,,
 002674.SZ,,,
 002706.SZ,,,
 002737.SZ,,,
 002748.SZ,,,
 002753.SZ,,,
 002765.SZ,,,
 002808.SZ,,,
 002813.SZ,,,
 002816.SZ,,,
 002826.SZ,,,
 002827.SZ,,,
 002832.SZ,,,
 002840.SZ,,,
 002842.SZ,,,
 002856.SZ,,,
 002870.SZ,,,
 002873.SZ,,,
 002889.SZ,,,
 002915.SZ,,,
 002997.SZ,,,
 003022.SZ,,,
 003039.SZ,,,
 003040.SZ,,,
 300010.SZ,,,
 300110.SZ,,,
 300130.SZ,,,
 300151.SZ,,,
 300192.SZ,,,
 300328.SZ,bad fundamental,,
 300350.SZ,,,
 300475.SZ,,,
 300486.SZ,,,
 300534.SZ,,,
 300562.SZ,,,
 300589.SZ,,,
 300633.SZ,,,
 300657.SZ,,,
 300693.SZ,,,
 300697.SZ,,,
 300757.SZ,,,
 300787.SZ,,,
 300905.SZ,,,
 300926.SZ,,,
 300981.SZ,,,
 300986.SZ,S,,
