code,attitude,reason,earn_nextweek,,
300505.SZ,,,1.429592566,23.14165498,-8.457711443
300552.SZ,,,-3.642072214,1.042684914,4.774193548
300563.SZ,,,3.737658674,6.313645621,2.583979328
300564.SZ,,,1.414233577,-0.410958904,-1.833180568
300567.SZ,,,2.597402597,-6.927018908,9.752851711
300594.SZ,,,0.4784689,1.426307448,0.780843311
300602.SZ,,,1.343183345,8.75331565,6.189320388
300607.SZ,,,-3.035767959,0.031007752,-1.145156298
300613.SZ,,,16.17424242,6.5722233,-18.63829787
300616.SZ,,,3.571934798,5.947441217,-0.415584416
300623.SZ,,,1.480982834,4.530744337,7.540675845
300651.SZ,,,-1.009174312,0.996292864,-2.089072544
300655.SZ,,,7.493134563,-11.89643107,5.78125
300658.SZ,,,6.25,-6.072252114,-7.459016393
300659.SZ,,,-6.385869565,11.67630058,-8.072916667
300676.SZ,,,-2.087301587,-4.748247291,-0.033613445
300680.SZ,,,1.870748299,-3.8,-11.72413793
300690.SZ,,,-2.528334786,-1.425389755,-2.157303371
300782.SZ,,,0.778001994,12.96892762,3.382845188
300801.SZ,,,-1.459459459,1.36761488,-1.862692922
300802.SZ,,,4.5,-5.196629213,-1.393418322
300815.SZ,,,-0.511627907,-6.71372729,-11.69060217
300830.SZ,,,-2.796420582,10.20642202,9.42408377
300848.SZ,,,-1.956135151,-6.134969325,3.70249017
300850.SZ,,,4.761904762,11.19745223,7.776470588
300852.SZ,,,1.298052921,-0.147167035,4.596273292
,,,,,
,,,0.225564715,1.263213939,-0.916548357
