code,attitude,reason,earn_nextweek
Buy signal in 000002.SZ,,,
Buy signal in 000032.SZ,,,
Buy signal in 000036.SZ,,,
Buy signal in 000157.SZ,,,
Buy signal in 000338.SZ,,,
Buy signal in 000404.SZ,,,
Buy signal in 000526.SZ,,,
Buy signal in 000557.SZ,,,
Buy signal in 000576.SZ,,,
Buy signal in 000589.SZ,,,
Buy signal in 000671.SZ,,,
Buy signal in 000703.SZ,,,
Buy signal in 000708.SZ,,,
Buy signal in 000786.SZ,,,
Buy signal in 000831.SZ,,,
Buy signal in 000900.SZ,,,
Buy signal in 000902.SZ,,,
Buy signal in 000913.SZ,,,
Buy signal in 000922.SZ,,,
Buy signal in 000955.SZ,,,
Buy signal in 000976.SZ,,,
Buy signal in 002007.SZ,,,
Buy signal in 002008.SZ,,,
Buy signal in 002044.SZ,,,
Buy signal in 002056.SZ,,,
Buy signal in 002064.SZ,,,
Buy signal in 002156.SZ,,,
Buy signal in 002164.SZ,,,
Buy signal in 002165.SZ,,,
Buy signal in 002184.SZ,,,
Buy signal in 002216.SZ,,,
Buy signal in 002258.SZ,,,
Buy signal in 002263.SZ,,,
Buy signal in 002288.SZ,,,
Buy signal in 002298.SZ,,,
Buy signal in 002299.SZ,,,
Buy signal in 002310.SZ,,,
Buy signal in 002314.SZ,,,
Buy signal in 002335.SZ,,,
Buy signal in 002350.SZ,,,
Buy signal in 002360.SZ,,,
Buy signal in 002364.SZ,,,
Buy signal in 002375.SZ,,,
Buy signal in 002376.SZ,,,
Buy signal in 002398.SZ,,,
Buy signal in 002401.SZ,,,
Buy signal in 002405.SZ,,,
Buy signal in 002439.SZ,,,
Buy signal in 002440.SZ,,,
Buy signal in 002447.SZ,,,
Buy signal in 002464.SZ,,,
Buy signal in 002480.SZ,,,
Buy signal in 002493.SZ,,,
Buy signal in 002499.SZ,,,
Buy signal in 002504.SZ,,,
Buy signal in 002529.SZ,,,
Buy signal in 002560.SZ,,,
Buy signal in 002562.SZ,,,
Buy signal in 002571.SZ,,,
Buy signal in 002572.SZ,,,
Buy signal in 002588.SZ,,,
Buy signal in 002595.SZ,,,
Buy signal in 002608.SZ,,,
Buy signal in 002625.SZ,,,
Buy signal in 002707.SZ,,,
Buy signal in 002713.SZ,,,
Buy signal in 002723.SZ,,,
Buy signal in 002734.SZ,,,
Buy signal in 002739.SZ,,,
Buy signal in 002749.SZ,,,
Buy signal in 002766.SZ,,,
Buy signal in 002772.SZ,,,
Buy signal in 002776.SZ,,,
Buy signal in 002803.SZ,,,
Buy signal in 002831.SZ,,,
Buy signal in 002835.SZ,,,
Buy signal in 002841.SZ,,,
Buy signal in 002851.SZ,,,
Buy signal in 002887.SZ,,,
Buy signal in 002897.SZ,,,
Buy signal in 002911.SZ,,,
Buy signal in 002928.SZ,,,
Buy signal in 002968.SZ,,,
Buy signal in 002984.SZ,,,
Buy signal in 002989.SZ,,,
Buy signal in 002998.SZ,,,
Buy signal in 003030.SZ,,,
Buy signal in 003032.SZ,,,
Buy signal in 300017.SZ,,,
Buy signal in 300019.SZ,,,
Buy signal in 300051.SZ,,,
Buy signal in 300064.SZ,,,
Buy signal in 300068.SZ,,,
Buy signal in 300083.SZ,,,
Buy signal in 300129.SZ,,,
Buy signal in 300161.SZ,,,
Buy signal in 300202.SZ,,,
Buy signal in 300203.SZ,,,
Buy signal in 300210.SZ,,,
Buy signal in 300211.SZ,,,
Buy signal in 300253.SZ,,,
Buy signal in 300257.SZ,,,
Buy signal in 300278.SZ,,,
Buy signal in 300313.SZ,,,
Buy signal in 300365.SZ,,,
Buy signal in 300378.SZ,,,
Buy signal in 300416.SZ,,,
Buy signal in 300418.SZ,,,
Buy signal in 300423.SZ,,,
Buy signal in 300552.SZ,,,
Buy signal in 300563.SZ,,,
Buy signal in 300564.SZ,,,
Buy signal in 300567.SZ,,,
Buy signal in 300594.SZ,,,
Buy signal in 300602.SZ,,,
Buy signal in 300607.SZ,,,
Buy signal in 300613.SZ,,,
Buy signal in 300616.SZ,,,
Buy signal in 300623.SZ,,,
Buy signal in 300651.SZ,,,
Buy signal in 300655.SZ,,,
Buy signal in 300658.SZ,,,
Buy signal in 300659.SZ,,,
Buy signal in 300676.SZ,,,
Buy signal in 300677.SZ,,,
Buy signal in 300680.SZ,,,
Buy signal in 300690.SZ,,,
Buy signal in 300782.SZ,,,
Buy signal in 300801.SZ,,,
Buy signal in 300802.SZ,,,
Buy signal in 300815.SZ,,,
Buy signal in 300830.SZ,,,
Buy signal in 300848.SZ,,,
Buy signal in 300850.SZ,,,
Buy signal in 300852.SZ,,,
